"Categoria","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024"
"Pará","330307480.59904236","343383619.9650888","430966906.7614785","369679675.09909904","383049227.8319662","568427498.4734119","501975140.1205764","603256499.089802","532678390.45547736","423313497.6372523","430779837.6059282","562937836.0818092","505312836.505726","628868578.7904272","698109490.228883","566780987.4613879","540880460.4392514","453708217.2775004","467512679.60823894","320352699.03969634","277704501.4118104","252571078.62459537","267837971.86784914","301883040.9167922","295574049.6180336","340747505.85094935","375473771.94873375","307986024.2665722","336714836.2548778","467170466.68828315","478669258.2026661","537665779.1164702","490690742.5228792","436477188.4559962","277723114.42390114"
"Mato Grosso","315604064.2990546","321305842.177176","435694110.38488233","416296830.4173821","560213673.5594625","669591441.6837279","577810593.6416663","564064000.3010519","562620965.0567236","631369690.6109034","476342049.2938614","489899097.23380584","626109403.4937445","887807122.0658875","784820852.2702115","606863878.4620699","390353424.92116046","292461080.77704453","309429702.77647835","187059792.63933295","185281093.75645614","231878457.5382228","211559209.98866242","262362305.3899767","239882671.7124168","261345486.61908752","225571042.44937557","233133956.75069687","238447696.50207642","299152506.6970311","288708000.54149663","282350125.7960084","340791894.3612138","333516965.47826505","231174595.84382212"
"Minas Gerais","197701573.22027323","201364953.77141538","195719814.38469025","190106331.90360624","180021198.0486009","184878391.48951656","175986401.98082417","175161636.10171443","172165702.24619514","184067308.94782734","175186382.71993664","167679948.34820464","176661276.50934827","178680519.95506352","189090047.43610483","180982880.77107087","180045953.33045438","182716589.77253926","178812542.52426687","167698450.91797447","173591300.79974538","176646446.63604188","184520358.40973505","190651366.13079125","186968247.37434548","178490398.75532386","175595649.96720928","170758225.62324592","166187835.1726278","166502237.48346952","169174845.79309604","174860574.09294653","179454318.8767474","178608060.68280587","189957665.0596638"
"São Paulo","125203763.42325753","129103536.55049618","127313087.9607426","129446674.93594554","144281046.6404208","141555741.0049809","141273020.62526813","141220007.95663452","144039628.77748328","147277789.08883798","151634829.59301114","152522640.2427827","150033992.9117148","150533711.9378747","150109959.63397226","146466933.002518","146767596.65043804","153807197.58290052","153558246.6665747","147952688.36318928","155447651.47563684","163796319.97929367","167113943.3711396","171717544.36905408","167373341.3400045","159424636.63283873","152144000.05572587","155461320.66513747","149579980.45052445","149692942.17958212","145678120.30639663","151418692.17618576","156804311.97134644","155435803.64788222","145181800.2672503"
"Maranhão","133531172.15872048","114282507.11108954","169653319.03752008","163890817.95601776","154150143.95858768","150369001.56647003","164861736.88048676","131130867.7234183","179992307.03345495","118247055.49940966","149307218.62505198","122393614.42056003","115236489.8645714","167347161.51094446","147954154.19029173","139370947.24948388","141212788.0913004","162170914.4795851","133458193.47805169","103677867.56331886","95552386.84402622","98910940.6765723","119339817.27499852","115891419.3534074","112447965.8063581","124390258.7686614","129554586.84236206","103049503.7018574","103633015.07680455","128901220.090082","140247044.48488316","128039464.77182245","139838687.49654135","167365631.72301993","129118964.19478212"
"Bahia","113193317.42648631","117300148.58264795","124692371.93728161","111997680.29118456","109552057.7184898","109100664.0198533","101252340.72699828","98674867.98618482","96041879.50347346","102225613.03374344","101826085.10822605","97120614.23650151","94118916.14746578","88741182.74737644","111944667.43588911","99060202.95901428","93007197.4486084","91937433.08024947","102770716.63898247","97362437.66629237","89635371.85881864","93848464.3879277","106338934.13453808","113469889.54713127","103524640.6435385","95803249.61702295","88451875.68985207","92452085.39287087","92117527.2316416","99800061.44131172","105209674.44938046","113626548.61611745","125310472.92474383","131624282.18775482","116355570.29880401"
"Rio Grande do Sul","102745072.92347217","113986405.4366453","99654741.28247884","110315584.96844256","105979480.10691905","102289685.12936082","96235768.96468963","100101292.5878967","97877529.59914109","99625426.37410149","108888207.6056787","104602245.10891205","100521536.58740084","111333961.77626409","113772075.61057532","100997547.95920339","100957497.55834249","94678867.66080154","107319144.13048184","102264640.69972713","110362413.28472833","108104578.37134154","109149544.50726587","123972748.08903673","109894047.6361885","111780832.0646236","104576048.22009793","107743716.92170839","103725814.27577564","110240649.9400011","100305131.15563367","122532492.87200473","106368073.63455985","98131756.9540985","107883634.36050236"
"Goiás","129187661.53919342","122243455.98136137","129250253.82952894","120436876.62586531","117568516.84470004","117001129.2870382","101203714.63301681","98213901.81439172","96258048.08004257","98437262.08533028","99762083.67585455","94682274.92784432","95533463.33439006","102112436.73981534","104766794.76380275","94231693.81867158","86098031.13636248","82542078.95189217","84002802.93718895","82513694.41189271","84870044.95193234","84675790.78565267","90467121.640634","93308453.26818004","93586509.95861603","93372199.53291158","90175393.98816411","91073388.28806178","89492201.48240584","92921070.7684412","95968304.75101662","97123072.14117327","97530776.42164816","101947037.3560303","97637917.22180529"
"Amazonas","18146512.47209541","20057022.353660546","28381852.424839802","27501957.18082799","30584870.971155867","34201685.842030935","41032704.734536946","58755369.90834338","69984464.84664614","42355719.09341048","41498674.24605474","35512023.67710653","47585263.489120856","74537033.72730945","65426690.296715766","72891121.8094729","69868610.62967892","52584947.267622575","46430823.56682161","48317070.02748403","59243953.88820799","43166575.38364105","45268123.96058809","54969003.548573494","56273304.69500865","79091447.68446904","107179129.84769471","77987369.82194515","75524502.0621301","131228633.22373104","130783086.11285241","187947396.1002164","216359418.64334026","114002112.74235076","96203107.73567864"
"Rondônia","72854089.0825618","120382393.13546364","153520505.2723922","154307070.8230824","190021702.33526763","246531463.60186964","245855101.141918","173608595.1933765","166008476.97038758","200962043.2801304","173778392.55127025","182785533.36252767","218356305.0313405","305630655.6847318","259188703.62162343","248540864.19756088","171067687.88747534","137232746.6635585","103391909.34386458","70536145.54924054","68144597.31759864","102205607.77754855","88321763.70635767","97527867.84585911","99343248.54702945","128920489.85999547","140060195.68587962","131817456.27786231","121308788.82195395","160478589.37377357","155422392.20541415","168740758.7247789","165763938.41012436","143522910.03556797","78144760.82724562"
