Data;Ativo;Núm. de Negócios;Qtde (Parte Obrigada);Qtde (Parte Não Obrigada) Cliente;Qtde (Parte Não Obrigada) Inst. Financeira;Qtde (Parte Não Obrigada) Total;Total;Preço Mínimo;Preço Médio;Preço Máximo;Valor Financeiro;Liquidação
02/01/2025;CBIO;18;16.657;0;23.077;23.077;39.734;70,000000;71,131021;77,000000;2.826.320,00;D0;
03/01/2025;CBIO;220;146.519;3.907;177.005;177.005;327.431;74,000000;75,644253;77,500000;24.768.273,55;D0;
06/01/2025;CBIO;224;174.579;0;235.977;235.977;410.556;74,000000;77,484875;78,300000;31.811.880,50;D0;
07/01/2025;CBIO;102;104.641;9.663;141.839;151.502;256.143;74,000000;77,380754;78,500000;19.820.538,45;D0;
08/01/2025;CBIO;89;44.742;4.000;61.985;65.985;110.727;74,000000;76,260991;77,000000;8.444.150,78;D0;
09/01/2025;CBIO;156;146.697;9.777;156.365;164.849;312.839;76,000000;76,928480;78,000000;24.066.228,76;D0;
10/01/2025;CBIO;144;78.040;9.224;97.913;107.137;185.177;76,700000;77,500151;77,700000;14.351.245,50;D0;
13/01/2025;CBIO;144;64.747;0;70.087;70.087;134.834;76,650000;77,694361;78,050000;10.475.841,45;D0;
14/01/2025;CBIO;137;80.572;0;95.992;95.992;176.564;77,010000;77,687959;78,250000;13.716.896,69;D0;
15/01/2025;CBIO;203;168.389;9.079;209.706;218.785;387.174;77,200000;77,821080;78,300000;30.130.298,84;D0;
16/01/2025;CBIO;187;208.942;0;210.529;210.529;419.471;76,850000;77,555627;78,050000;32.532.336,55;D0;
17/01/2025;CBIO;399;330.185;0;415.651;415.651;745.836;76,000000;76,800134;78,000000;57.280.304,89;D0;
20/01/2025;CBIO;109;56.833;0;59.835;59.835;116.668;76,000000;76,551352;76,900000;8.931.093,10;D0;
21/01/2025;CBIO;92;78.620;2.561;93.181;95.742;174.362;75,000000;75,524840;77,990000;13.168.662,20;D0;
22/01/2025;CBIO;267;264.147;0;327.732;327.732;591.879;73,500000;74,315608;75,000000;43.985.847,58;D0;
23/01/2025;CBIO;113;124.735;0;136.117;136.117;260.852;74,000000;74,650358;75,073519;19.472.695,06;D0;
24/01/2025;CBIO;286;231.344;5.250;250.301;255.551;486.895;74,000000;74,995530;76,000000;36.514.948,40;D0;
27/01/2025;CBIO;50;26.791;200;28.241;28.441;55.232;74,000000;74,684230;75,500000;4.124.959,40;D0;
28/01/2025;CBIO;133;120.858;0;124.860;124.860;245.718;74,350000;74,927767;75,490000;18.411.101,09;D0;
29/01/2025;CBIO;242;231.001;0;251.289;251.289;482.290;74,400000;74,944081;75,350000;36.144.780,68;D0;
30/01/2025;CBIO;155;170.990;0;211.834;211.834;382.824;73,810000;74,736996;75,300000;28.611.115,74;D0;
31/01/2025;CBIO;194;168.158;0;204.373;204.373;372.531;74,450000;74,822528;75,600000;27.873.711,01;D0;
03/02/2025;CBIO;191;127.766;0;149.518;149.518;277.284;74,550000;74,986503;75,250000;20.792.557,61;D0;
04/02/2025;CBIO;331;189.481;1.859;228.398;230.257;419.738;73,850000;75,033571;75,500000;31.494.440,95;D0;
05/02/2025;CBIO;234;165.942;1.859;185.892;187.751;353.693;75,000000;75,532049;75,777000;26.715.156,90;D0;
06/02/2025;CBIO;340;273.175;0;347.165;347.165;620.340;74,000000;75,220864;75,877502;46.662.510,80;D0;
07/02/2025;CBIO;323;315.063;0;359.987;359.987;675.050;74,650000;75,589701;76,250000;51.026.827,46;D0;
10/02/2025;CBIO;142;97.188;0;114.316;114.316;211.504;75,150000;75,876944;77,500000;16.048.277,10;D0;
11/02/2025;CBIO;319;269.646;0;284.367;284.367;554.013;75,650000;76,536664;81,000000;42.402.306,63;D0;
12/02/2025;CBIO;505;827.067;12.757;892.597;905.354;1.732.421;76,500000;79,271215;80,250000;137.331.117,16;D0;
13/02/2025;CBIO;393;418.672;10.800;480.223;491.023;909.695;78,000000;79,684840;80,300000;72.488.900,26;D0;
14/02/2025;CBIO;91;69.474;0;67.757;67.757;137.231;77,000000;78,455419;79,100000;10.766.515,53;D0;
17/02/2025;CBIO;354;205.194;0;232.281;232.281;437.475;77,500000;78,334675;78,892505;34.269.462,00;D0;
18/02/2025;CBIO;140;96.191;0;105.841;105.841;202.032;77,990000;78,643928;79,100000;15.888.589,90;D0;
19/02/2025;CBIO;221;121.582;3.500;142.447;145.947;267.529;77,350000;78,219533;78,800000;20.925.993,50;D0;
20/02/2025;CBIO;226;117.158;0;124.758;124.758;241.916;77,500000;78,070085;78,500000;18.886.402,65;D0;
21/02/2025;CBIO;215;233.502;0;361.388;361.388;594.890;77,360000;78,150260;79,300000;46.490.808,37;D0;
24/02/2025;CBIO;155;127.390;0;133.390;133.390;260.780;77,400000;77,947238;79,100000;20.327.080,70;D0;
25/02/2025;CBIO;158;120.955;0;155.063;155.063;276.018;76,800000;77,640113;80,000000;21.430.068,70;D0;
26/02/2025;CBIO;213;143.246;0;166.416;166.416;309.662;76,300000;77,114874;78,800000;23.879.546,10;D0;
27/02/2025;CBIO;93;101.204;1.000;133.473;134.473;235.677;75,800000;76,393880;77,184000;18.004.280,55;D0;
28/02/2025;CBIO;118;106.419;1.500;110.419;111.919;218.338;74,000000;75,355051;76,300000;16.452.871,05;D0;
05/03/2025;CBIO;44;36.496;0;42.291;42.291;78.787;73,800000;74,274441;74,800000;5.851.860,33;D0;
06/03/2025;CBIO;86;51.110;2.500;55.610;58.110;109.220;73,700000;74,053228;74,500000;8.088.093,40;D0;
07/03/2025;CBIO;254;202.514;850;267.553;268.403;470.917;71,700000;73,607945;74,200000;34.663.232,46;D0;
10/03/2025;CBIO;183;110.293;2.000;217.137;219.137;329.430;70,050000;71,151187;72,510000;23.439.335,38;D0;
11/03/2025;CBIO;345;257.992;2.500;374.364;376.864;634.856;68,150000;69,589014;80,000000;44.179.003,10;D0;
12/03/2025;CBIO;139;238.246;10.000;181.499;191.499;429.745;69,000000;69,531707;70,249500;29.880.903,61;D0;
13/03/2025;CBIO;88;165.794;4.000;44.813;48.813;214.607;64,000000;69,023597;70,000000;14.812.947,10;D0;
14/03/2025;CBIO;94;143.858;200;104.831;105.031;248.889;68,900000;69,527394;70,100000;17.304.603,55;D0;
17/03/2025;CBIO;251;236.033;1.500;281.071;282.571;518.604;69,150000;69,941844;70,500000;36.272.120,17;D0;
18/03/2025;CBIO;161;148.195;200;175.324;175.524;323.719;69,750000;70,332976;71,200000;22.768.120,72;D0;
19/03/2025;CBIO;235;249.059;1.740;260.996;262.736;511.795;69,000000;70,884648;72,000000;36.278.408,44;D0;
20/03/2025;CBIO;257;276.142;2.000;240.583;242.583;518.725;70,250000;71,160213;72,000000;36.912.581,48;D0;
