,Data,Preço Médio,Emissor
0,2020-04-28,50.5,50787.0
1,2020-04-29,50.5,114144.0
2,2020-04-30,50.5,114144.0
3,2020-05-01,50.5,114144.0
4,2020-05-02,50.5,114144.0
5,2020-05-03,50.5,114144.0
6,2020-05-04,50.5,114144.0
7,2020-05-05,50.5,401213.0
8,2020-05-06,50.5,401213.0
9,2020-05-07,50.5,401213.0
10,2020-05-08,50.5,401213.0
11,2020-05-09,50.5,401213.0
12,2020-05-10,50.5,401213.0
13,2020-05-11,50.5,471676.0
14,2020-05-12,50.5,582912.0
15,2020-05-13,50.5,582912.0
16,2020-05-14,50.5,583549.0
17,2020-05-15,50.5,583549.0
18,2020-05-16,50.5,583549.0
19,2020-05-17,50.5,583549.0
20,2020-05-18,50.5,584018.0
21,2020-05-19,50.5,640225.0
22,2020-05-20,50.5,643266.0
23,2020-05-21,50.5,648446.0
24,2020-05-22,50.5,648446.0
25,2020-05-23,50.5,648446.0
26,2020-05-24,50.5,648446.0
27,2020-05-25,50.5,649834.0
28,2020-05-26,50.5,696508.0
29,2020-05-27,50.5,696508.0
30,2020-05-28,50.5,702026.0
31,2020-05-29,50.5,702026.0
32,2020-05-30,50.5,702026.0
33,2020-05-31,50.5,702026.0
34,2020-06-01,50.5,728574.0
35,2020-06-02,50.5,728574.0
36,2020-06-03,50.5,728818.0
37,2020-06-04,50.5,731888.0
38,2020-06-05,50.5,731888.0
39,2020-06-06,50.5,731888.0
40,2020-06-07,50.5,731888.0
41,2020-06-08,50.5,733007.0
42,2020-06-09,50.5,733133.0
43,2020-06-10,50.5,744470.0
44,2020-06-11,50.5,744470.0
45,2020-06-12,50.5,744470.0
46,2020-06-13,50.5,744470.0
47,2020-06-14,50.5,744470.0
48,2020-06-15,50.5,744649.0
49,2020-06-16,50.5,744649.0
50,2020-06-17,50.5,744649.0
51,2020-06-18,50.5,744649.0
52,2020-06-19,50.5,744649.0
53,2020-06-20,50.5,744649.0
54,2020-06-21,50.5,744649.0
55,2020-06-22,50.5,744649.0
56,2020-06-23,50.5,744649.0
57,2020-06-24,50.5,744649.0
58,2020-06-25,15.0,1050118.0
59,2020-06-26,15.0,1050118.0
60,2020-06-27,15.0,1050118.0
61,2020-06-28,15.0,1050118.0
62,2020-06-29,15.0,1050118.0
63,2020-06-30,15.0,1221063.0
64,2020-07-01,18.0,1239088.0
65,2020-07-02,18.0,1239088.0
66,2020-07-03,18.0,1239088.0
67,2020-07-04,18.0,1239088.0
68,2020-07-05,18.0,1239088.0
69,2020-07-06,20.0,1300206.0
70,2020-07-07,20.0,1300206.0
71,2020-07-08,20.0,1300206.0
72,2020-07-09,20.0,1300206.0
73,2020-07-10,20.0,1300206.0
74,2020-07-11,20.0,1300206.0
75,2020-07-12,20.0,1300206.0
76,2020-07-13,20.0,1300206.0
77,2020-07-14,20.0,1300206.0
78,2020-07-15,20.0,1300206.0
79,2020-07-16,20.0,1300206.0
80,2020-07-17,20.0,1300206.0
81,2020-07-18,20.0,1300206.0
82,2020-07-19,20.0,1300206.0
83,2020-07-20,20.0,2068303.0
84,2020-07-21,20.0,2152918.0
85,2020-07-22,20.0,2152918.0
86,2020-07-23,20.166666,2623325.0
87,2020-07-24,20.166666,2623325.0
88,2020-07-25,20.166666,2623325.0
89,2020-07-26,20.166666,2623325.0
90,2020-07-27,19.9,2853286.0
91,2020-07-28,20.0,2941785.0
92,2020-07-29,20.0,2990149.0
93,2020-07-30,20.0,3749500.0
94,2020-07-31,20.0,3749500.0
95,2020-08-01,20.0,3749500.0
96,2020-08-02,20.0,3749500.0
97,2020-08-03,21.0,3949267.0
98,2020-08-04,20.33333333,4659874.0
99,2020-08-05,20.8,4971261.0
100,2020-08-06,19.92,4960023.0
101,2020-08-07,19.92,4960023.0
102,2020-08-08,19.92,4960023.0
103,2020-08-09,19.92,4960023.0
104,2020-08-10,20.0,5162670.0
