Data,Preço Médio,Emissor
2020-04-28,50.5,50787
2020-04-29,50.5,114144
2020-04-30,50.5,114144
2020-05-01,50.5,114144
2020-05-02,50.5,114144
2020-05-03,50.5,114144
2020-05-04,50.5,114144
2020-05-05,50.5,401213
2020-05-06,50.5,401213
2020-05-07,50.5,401213
2020-05-08,50.5,401213
2020-05-09,50.5,401213
2020-05-10,50.5,401213
2020-05-11,50.5,471676
2020-05-12,50.5,582912
2020-05-13,50.5,582912
2020-05-14,50.5,583549
2020-05-15,50.5,583549
2020-05-16,50.5,583549
2020-05-17,50.5,583549
2020-05-18,50.5,584018
2020-05-19,50.5,640225
2020-05-20,50.5,643266
2020-05-21,50.5,648446
2020-05-22,50.5,648446
2020-05-23,50.5,648446
2020-05-24,50.5,648446
2020-05-25,50.5,649834
2020-05-26,50.5,696508
2020-05-27,50.5,696508
2020-05-28,50.5,702026
2020-05-29,50.5,702026
2020-05-30,50.5,702026
2020-05-31,50.5,702026
2020-06-01,50.5,728574
2020-06-02,50.5,728574
2020-06-03,50.5,728818
2020-06-04,50.5,731888
2020-06-05,50.5,731888
2020-06-06,50.5,731888
2020-06-07,50.5,731888
2020-06-08,50.5,733007
2020-06-09,50.5,733133
2020-06-10,50.5,744470
2020-06-11,50.5,744470
2020-06-12,50.5,744470
2020-06-13,50.5,744470
2020-06-14,50.5,744470
2020-06-15,50.5,744649
2020-06-16,50.5,744649
2020-06-17,50.5,744649
2020-06-18,50.5,744649
2020-06-19,50.5,744649
2020-06-20,50.5,744649
2020-06-21,50.5,744649
2020-06-22,50.5,744649
2020-06-23,50.5,744649
2020-06-24,50.5,744649
2020-06-25,15.0,1050118
2020-06-26,15.0,1050118
2020-06-27,15.0,1050118
2020-06-28,15.0,1050118
2020-06-29,15.0,1050118
2020-06-30,15.0,1221063
2020-07-01,18.0,1239088
2020-07-02,18.0,1239088
2020-07-03,18.0,1239088
2020-07-04,18.0,1239088
2020-07-05,18.0,1239088
2020-07-06,20.0,1300206
2020-07-07,20.0,1300206
2020-07-08,20.0,1300206
2020-07-09,20.0,1300206
2020-07-10,20.0,1300206
2020-07-11,20.0,1300206
2020-07-12,20.0,1300206
2020-07-13,20.0,1300206
2020-07-14,20.0,1300206
2020-07-15,20.0,1300206
2020-07-16,20.0,1300206
2020-07-17,20.0,1300206
2020-07-18,20.0,1300206
2020-07-19,20.0,1300206
2020-07-20,20.0,2068303
2020-07-21,20.0,2152918
2020-07-22,20.0,2152918
2020-07-23,20.166666,2623325
2020-07-24,20.166666,2623325
2020-07-25,20.166666,2623325
2020-07-26,20.166666,2623325
2020-07-27,19.9,2853286
2020-07-28,20.0,2941785
2020-07-29,20.0,2990149
2020-07-30,20.0,3749500
2020-07-31,20.0,3749500
2020-08-01,20.0,3749500
2020-08-02,20.0,3749500
2020-08-03,21.0,3949267
2020-08-04,20.33333333,4659874
2020-08-05,20.8,4971261
2020-08-06,19.92,4960023
2020-08-07,19.92,4960023
2020-08-08,19.92,4960023
2020-08-09,19.92,4960023
2020-08-10,20.0,5162670
2020-08-11,20.157048,5187702
2020-08-12,20.157048,5187702
