Data;Quantidade (Emissor);Quantidade (Parte Obrigada);Quantidade (Parte Não Obrigada) Instituição Financeira;Quantidade (Parte Não Obrigada) Cliente;Quantidade (Parte Não Obrigada Total);Totalização
02/01/2025;13.403.406;2.998.921;5.211;51.469;56.680;16.459.007;
03/01/2025;13.435.754;3.181.109;1.304;51.469;52.773;16.669.636;
06/01/2025;13.467.855;3.343.571;3.629;48.469;52.098;16.863.524;
07/01/2025;13.480.747;3.427.759;3.629;76.619;80.248;16.988.754;
08/01/2025;13.675.531;3.476.406;8.936;79.499;88.435;17.240.372;
09/01/2025;13.627.432;3.643.106;208;86.483;86.691;17.357.229;
10/01/2025;13.642.523;3.765.315;2.753;95.707;98.460;17.506.298;
13/01/2025;13.754.194;3.833.824;298;89.117;89.415;17.677.433;
14/01/2025;13.887.017;3.872.396;1.582;86.997;88.579;17.847.992;
15/01/2025;13.747.600;4.040.728;4.054;93.576;97.630;17.885.958;
16/01/2025;13.724.220;4.206.073;3.641;76.247;79.888;18.010.181;
17/01/2025;13.721.461;4.355.841;5.000;76.247;81.247;18.158.549;
20/01/2025;14.165.287;4.352.180;1.000;76.247;77.247;18.594.714;
21/01/2025;14.540.547;4.441.681;1.000;76.247;77.247;19.059.475;
22/01/2025;14.383.310;4.708.960;;73.686;73.686;19.165.956;
23/01/2025;14.365.203;4.851.703;;73.686;73.686;19.290.592;
24/01/2025;14.192.261;5.055.958;;78.936;78.936;19.327.155;
27/01/2025;14.394.654;5.120.591;;78.936;78.936;19.594.181;
28/01/2025;14.393.142;5.229.711;4.002;78.936;82.938;19.705.791;
29/01/2025;14.297.819;5.423.563;3.790;78.936;82.726;19.804.108;
30/01/2025;14.076.701;5.701.481;3.671;78.936;82.607;19.860.789;
31/01/2025;14.438.735;5.387.386;671;78.936;79.607;19.905.728;
03/02/2025;14.402.257;5.498.382;671;78.936;79.607;19.980.246;
04/02/2025;14.381.341;5.695.867;5.012;80.795;85.807;20.163.015;
05/02/2025;14.279.111;5.843.409;1.473;79.271;80.744;20.203.264;
06/02/2025;14.290.919;5.926.505;2.906;76.771;79.677;20.297.101;
07/02/2025;14.064.825;6.211.693;1.156;76.771;77.927;20.354.445;
10/02/2025;14.189.592;6.332.090;165;73.770;73.935;20.595.617;
11/02/2025;14.096.038;6.551.052;665;73.486;74.151;20.721.241;
12/02/2025;13.312.380;7.346.629;1.049;98.223;99.272;20.758.281;
13/02/2025;13.090.871;7.795.232;3.000;89.486;92.486;20.978.589;
14/02/2025;13.116.746;7.845.267;283;89.486;89.769;21.051.782;
17/02/2025;13.153.001;8.087.266;1.035;87.486;88.521;21.328.788;
18/02/2025;13.821.465;8.202.117;3.035;87.486;90.521;22.114.103;
19/02/2025;13.962.549;8.302.409;785;90.986;91.771;22.356.729;
20/02/2025;13.986.387;8.420.719;585;90.986;91.571;22.498.677;
21/02/2025;14.010.883;8.660.694;2.233;86.986;89.219;22.760.796;
24/02/2025;14.047.313;8.793.825;716;83.986;84.702;22.925.840;
25/02/2025;14.054.700;8.840.712;5.716;75.986;81.702;22.977.114;
26/02/2025;13.992.643;9.016.671;3.216;75.986;79.202;23.088.516;
27/02/2025;13.930.715;9.095.219;3.043;76.986;80.029;23.105.963;
28/02/2025;13.915.789;9.185.103;2.043;78.486;80.529;23.181.421;
05/03/2025;14.200.605;9.236.724;2.000;78.486;80.486;23.517.815;
06/03/2025;14.301.342;9.281.580;;80.986;80.986;23.663.908;
